,countries,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,tot_cases/1M pop
171,Cabo Verde,1,+1,,,,1,,2
172,Chad,1,,,,,1,,0.06
173,Djibouti,1,,,,,1,,1
174,El Salvador,1,,,,,1,,0.2
175,Fiji,1,,,,,1,,1
176,Gambia,1,,,,,1,,0.4
177,Vatican City,1,,,,,1,,"1,248"
178,Montserrat,1,,,,,1,,200
179,Niger,1,,,,,1,,0.04
180,Papua New Guinea,1,+1,,,,1,,0.1
181,St. Vincent Grenadines,1,,,,,1,,9
182,Sint Maarten,1,,,,,1,,23
183,Somalia,1,,,,,1,,0.06
184,Eswatini,1,,,,,1,,0.9
185,Zimbabwe,1,+1,,,,1,,0.07
186,Total:,"275,531","30,598","11,385","1,354","91,533","172,613","7,765",35.3
